Real, Imaginary 
14241678880498591548,11663096988153342827
5831548494076671413,16542546890750476865
17494645482230014240,12734152524832327363
15590448299270939489,1308969427077878857
9877856750393715236,3926908281233636571
11186826177471594093,11780724843700909713
15113734458705230664,16895430457393177523
8447715228696588761,13792803224760429337
6896401612380214668,4484921526862184779
2242460763431092389,13454764580586554337
6727382290293277168,3470805594340559779
1735402797170279889,10412416783021679337
5206208391510839668,12790506275355486395
15618625174532519005,1478030678647355953
9962387376178453784,4434092035942067859
11440418054825809737,13302276107826203577
15874510090767877596,3013340176059507499
10730042124884529557,9040020528178522497
13743382300944037056,8673317510826015875
4336658755413007937,7573208458768496009
13009976266239023812,4272881302595936411
2136440651297968205,12818643907787809233
6409321953893904616,1562443575944324467
781221787972162233,4687330727832973401
2343665363916486700,14061992183498920203
7030996091749460101,5292488403077657377
2646244201538828688,15877465209232972131
7938732604616486065,10738907480279813161
5369453740139906580,13769978367129887867
16108361220419719741,4416446953970560369
11431595513840055992,13249340861911681107
15848042467810616361,2854534438315940089
10650639256012745852,8563603314947820267
13505173694328685941,7244065871133909185
3622032935566954592,3285453539692175939
10866098806700863777,9856360619076527817
14151552346393039716,11122337783520031835
5561168891760015917,14920269276850543889
16683506675280047752,7867319683132528435
13157031878421040025,5155214975688033689
2577607487844016844,15465644927064101067
7732822463532050533,9503446633773199969
4751723316886599984,10063595827610048291
14255169950659799953,11744043409120593257
5872021704560296628,16785386153652228155
17616065113680889885,13462670313537581233
15954707193623566424,3494522793193640467
10970633433451596041,10483568379580921401
14465156226645236508,13003961065033212587
6501980532516606293,2118395047680534529
1059197523840267264,6355185143041603587
3177592571520801793,618811355415259145
9532777714562405380,1856434066245777435
10151589069977664525,5569302198737332305
12008023136223441960,16707906596211996915
17577325334960774265,13230231641216887513
15838487857463219564,2797206776231559307
10621975424970555461,8391620328694677921
13419182201202114768,6728116912374482147
3364058456187241073,1737606663413894825
10092175368561723220,5212819990241684475
11829782031975618045,15638459970725053425
17042602022217302520,10021891764756057043
14234317919232804329,11618931220558619513
5809465610279309756,16410049587966306923
17428396830837929269,12336660616479817537
15391702345094684576,116493702020349379
9281618887864950497,349481106061048137
9398112589885299876,1048443318183144411
9747593695946348013,3145329954549433233
10796037014129492424,9435989863648299699
13941366968678925657,9861225517235347481
4930612758617673740,11136932477996490827
14791838275853021221,14964053360279920865
7482026680139960432,7998671933420659363
3999335966710329681,5549271726552426473
11998007900130989044,16647815179657279419
17547279626683415517,13049957391552735025
15748350732631143320,2256384027239101843
10351564050474326729,6769152081717305529
12607948077713428572,1860712171442364971
930356085721182485,5582136514327094913
2791068257163547456,16746409542981284739
8373204771490642369,13345740481524750985
6672870240762375492,3143733297155149723
1571866648577574861,9431199891465449169
4715599945732724584,9846855600686795891
14146799837198173753,11093822728350836057
5546911364175418028,14834724111342956555
16640734092526254085,7610684186609766433
13028714130159659024,4385308486119747683
2192654243059873841,13155925458359243049
6577962729179621524,2574288227658625915
1287144113829312957,7722864682975877745
3861432341487938872,4721849975218081619
11584297024463816617,14165549925654244857
16306146999681898236,5603161629543631339
12024952851626591477,16809484888630894017
17628114481170222816,13534966518473578819
15990855296091565217,3711411408001633225
11079077740855592420,11134234224004899675
14790489148857225645,14955958598305147409
7477979299152573704,7974387647496338995
3987193823748169497,5476418868779465369
11961581471244508492,16429256606338396107
17438000340023973861,12394281671596085089
15420512872652818352,289356867369152035
9368050470539351825,868070602107456105
9657407337908503860,2604211806322368315
10525477940015959965,7812635418967104945
13129689746338328280,4991162183191763219
2495581091595881609,14973486549575289657
7486743274787644828,8026971501306765739
4013485750653382869,5634170430210745601
12040457251960148608,16902511290632236803
17674627682170894209,13814045724477607177
16130394899093579396,4548649026013718299
11497696549861634957,13645947078041154897
16046345575875353256,4044353086704361459
11245548580206956537,12133059260113084377
15289901666911317996,17952433706629701515
8976216853314850757,16963812972470001313
8481906486235000656,13997950769990900707
6998975384995450353,5100364162553598889
2550182081276799444,15301092487660796667
7650546243830398333,9009789315563286769
4504894657781643384,8582623872980308691
13514683973344930153,7301127545231374457
3650563772615687228,3456638561984571755
10951691317847061685,10369915685953715265
14408329879831633440,12663002984151594179
6331501492075797089,1095520805035679305
547760402517839652,3286562415107037915
1643281207553518957,9859687245321113745
4929843622660556872,11132317662253789619
14789530867981670617,14950208913051817241
7475104456525908620,7957138591736348491
3978569295868174245,5424671701499493857
11935707887604522736,16274015104498481571
17360379589104016593,11928557166076341481
15187650619892946548,17338927424519472827
8669463712259736413,15123294126139315249
7561647063069657624,8476394230998842515
4238197115499421257,6982438619286975929
12714591346498263772,2500571784151376171
1250285892075688085,7501715352454128513
3750857676227064256,4058401983652833923
11252573028681192769,12175205950958501769
15310975012334026692,18078873779165953691
9039436889582976845,17343133190078757841
8671566595039378920,15135911422817170291
7567955711408585145,8514246121032407641
4257123060516203820,7095994289387671307
12771369181548611461,2841238794453462305
1420619397226731152,8523716383360386915
4261858191680193457,7124405076371609129
12785574575040580372,2926471155405275771
1463235577702637885,8779413466215827313
4389706733107913656,7891496324937930323
13169120199323740969,5227744901104239353
2613872450552119676,15683234703312718059
7841617351656359029,10156215962519050945
5078107981259525472,12021903813847601219
15234323943778576417,17618967367833252041
8809483683916626020,15963413956080652891
7981706978040326445,10996753720822855441
5498376860411427720,14543517088759014707
16495130581234283161,6737063118857940889
12591903596283746252,1764445282864271051
882222641432135525,5293335848592813153
2646667924296406576,15880007545778439459
7940003772889219729,10746534489916215145
5373267244958107572,13792859396039093819
16119801734874322717,4485090040698178225
11465917057203864920,13455270122094534675
15951007097902043145,3472322218864500793
10959533146287026204,10416966656593502379
14431855365151526997,12804155896070955521
6402077948035477760,1518979540793763331
759489770396881665,4556938622381289993
2278469311190644996,13670815867143869979
6835407933571934989,4118959454012506705
2059479727006253352,12356878362037520115
6178439181018760057,177146938693457113
88573469346728556,531440816080371339
265720408040185669,1594322448241114017
797161224120557008,4782967344723342051
2391483672361671025,14348902034170026153
7174451017085013076,6153217955090975227
3076608977545487613,12909791563374065
9229826932636462840,38729374690122195
9242736724199836905,116188124070366585
9281466098889959100,348564372211099755
9397654222960325685,1045693116633299265
9746218595171425440,3137079349899897795
10791911711804724705,9411238049699693385
13928991061704622500,9786970075389528539
4893485037694764269,10914166152459034001
14680455113084292808,14295754383667550387
7147877191833775193,5993775003583547929
2996887501791773964,17981325010750643787
8990662505375321893,17050486884832828129
8525243442416414064,14257972507079381155
7128986253539690577,5880429373819040233
2940214686909520116,17641288121457120699
8820644060728560349,16030376216952258865
8015188108476129432,11197640503437673363
5598820251718836681,15146177436603468473
16796460755156510044,8545044162391302187
13495894118050426901,7188388413464354945
3594194206732177472,3118421166683513219
10782582620196532417,9355263500050539657
13901003786880045636,9619046426442067355
4809523213221033677,10410395205616650449
14428569639663101032,12784441543140399731
6392220771570199865,1459836482002095961
729918241001047980,4379509446006287883
2189754723003143941,13138528338018863649
6569264169009431824,2522096866637487715
1261048433318743857,7566290599912463145
3783145299956231572,4252127726027837819
11349435899868694717,12756383178083513457
15601563625896532536,1375661386831437139
9911202730270494377,4126984160494311417
11286864117101931516,12380952481482934251
15413848277596242933,249369297029699521
9348056685369625568,748107891089098563
9597425982399325089,2244323673267295689
10345533873488423652,6732971019801887067
12589857546755719341,1752168985696109585
876084492848054792,5256506957088328755
2628253478544164377,15769520871264986265
7884760435632493132,10415074466375855563
5207537233187927781,12798479325418015073
15622611699563783344,1501949828834941987
9974346951272246801,4505849486504825961
11476296780107188788,13517548459514477883
15982146266612014749,3659157231124330417
11052950652416941016,10977471693372991251
14712107883541271433,14485671006409422137
7242835503204711068,6563524871809163179
3281762435904581589,1243830541717937921
9845287307713744768,3731491625153813763
11089117849431682689,11194474875461441289
14820609474585496452,15136680552674772251
7568340276337386125,8516553510605213521
4258276755302606760,7102916458106088947
12774830265907820281,2862005300608715225
1431002650304357612,8586015901826145675
4293007950913072837,7311303631768885409
12879023852739218512,3487166821597104611
1743583410798552305,10461500464791313833
5230750232395656916,12937757320664389883
15692250697186970749,1919783814574066417
10183263944141809016,5759351443722199251
12103047758715875433,17278054331166597753
17862399202438074684,14940674846080690027
16693709459895120821,7928536390822966849
13187640232266259232,5338865098759348931
2669432549379674465,16016595296278046793
8008297648139023396,11156297741415037147
5578148870707518573,15022149150535559825
16734446612122555720,8172959304187576243
13309851688948563929,6072133838853177113
3036066919426588556,18216401516559531339
9108200758279765669,17755716402259490785
8877858201129745392,16373661059359369123
8186830529679684561,12227495030659004137
6113747515329502068,18235741018267460795
18341242545988506205,17813734907383279153
18130239490546415384,16547716574730734227
17497230324220142921,12749661576773099449
15598202825241325532,1355496582900195115
9901120328304873365,4066489748700585345
11256616911205068480,12199469246101756035
15323106659905653825,18151663664595716489
9075831832297858244,17561502846368046235
8780751423184023117,15791020391685035473
7895510195842517736,10479573027636003187
5239786513818001593,12991975009198457945
15719359541454004780,2082436880176270603
10264590476942911109,6247310640528811809
12347027357119181712,295187847876883811
147593923938441905,885563543630651433
442781771815325716,2656690630891954299
1328345315445977149,7970071892675862897
3985035946337931448,5463471604318037075
11955107839013794345,16390414812954111225
17418579443331831420,12277756291443230443
15362250182576391029,18386524800620139713
9193262400310069856,18266086254441315907
9133043127220657953,17904770615904844489
8952385307952422244,16820823700295430235
8410411850147715117,13568982953467187473
6784491476733593736,3813460712982459187
1906730356491229593,11440382138947377561
5720191069473688780,15874402343132581067
17160573208421066341,10729718881978639969
14588231477844095792,13742412572226368291
6871206286113184145,4333749569260001641
2166874784630000820,13001248707780004923
6500624353890002461,2110257975920911537
1055128987960455768,6330773927762734611
3165386963881367305,545577709578652217
9496160891644101916,1636733128735956651
10041738601222754133,4910199386207869953
11678471729958710784,14730598158623609859
16588671116166580737,7298306328451726345
12872525201080638980,3448174911645627419
1724087455822813709,10344524734936882257
5172262367468441128,12586830131101095155
15516787102405323385,867002245884182233
9656873159796866924,2601006737652546699
10523875405681049157,7803020212957640097
13124882143333595856,4962316565163368675
2481158282581684337,14886949695490106025
7443474847745053012,7767360939051214843
3883680469525607421,4855338743444092913
11651041408576822264,14566016230332278739
16506380152020915177,6804560543577732985
12625652308643642300,1966937557023647339
983468778511823669,5900812671070942017
2950406335535471008,17702438013212826051
8851219006606413025,16213825892219374921
8106912946109687460,11747989529239021531
5873994764619510765,16797224514007512977
17621984293858532296,13498185394603435699
15972464734156493657,3601068036391203865
11023906055050377740,10803204109173611595
14624974091441581605,13962868253811283169
6981434126905641584,4995116614014746275
2497558307007373137,14985349842044238825
7492674921022119412,8062561378713613243
4031280689356806621,5740940062431288113
12093842068070419864,17222820187293864339
17834782130501707977,14774972414462489785
16610858244086020700,7431429095968366123
12939086584838958869,3847543214195546753
1923771607097773376,11542629642586640259
5771314821293320129,16181144854050369161
17313944463879960388,11649946414732004251
15048345244220777933,16503095170486461137
8251547585243230568,12615797364040280179
6307898682020140089,953903944701737305
476951972350868652,2861711834105211915
1430855917052605957,8585135502315635745
4292567751157817872,7308662433237355619
12877703253473453617,3479243226002515241
1739621613001257620,10437729678007545723
5218864839003772861,12866444960313085553
15656594517011318584,1705846733520153427
10076295403614852521,5117540200560460281
11782142137135005948,15352620601681380843
16899682337695466229,9164373657625039297
13805558865667295456,9046376899165566275
4523188449582783137,8692386623787147209
13569565348748349412,7630415797651890011
3815207898825945005,4444503319246118417
11445623696477835016,13333509957738355251
15890127015723953433,3107041725795962521
10776892899752757068,9321125177387887563
13883934625548719589,9516631458454111073
4758315729227055536,10103150301652781603
14274947187681166609,11862706831248793193
5931353415624396596,17141376420036827963
17794060246873189789,14530641112691380657
16488692593200466136,6698435190655038739
12572589632182295177,1648561498255564601
824280749127782300,4945684494766693803
2472842247383346901,14837053484300081409
7418526742150040704,7617672305481140995
3808836152740570497,4406272842733871369
11426508458221711492,13218818528201614107
15832781300955582861,2762967437185739089
10604855755447645352,8288902311557217267
13367823192633384441,6419962860962100185
3209981430481050092,813144509176748939
9629944291443150277,2439433527530246817
10443088800619899216,7318300582590740451
12882522328150146033,3508157674062669737
1754078837031334868,10524473022188009211
5262236511094004605,13126674992854476017
15786709533282013816,2486536831144324819
10466640452426938217,7459610493432974457
12953177283571263036,3932087406589371755
1966043703294685877,11796262219768115265
5898131109884057632,16942042585594794179
17694393329652172897,13932639609365279305
16189691841537415460,4904430680676734683
11675587377193143149,14713292042030204049
16580018057869877832,7246387978671508915
12846566026190530265,3292419862304975129
1646209931152487564,9877259586914925387
4938629793457462693,11185034687035224545
14815889380372388080,15108359987396122019
7554179993698061009,8431591814769262825
4215795907384631412,6848031370598236859
12647387722153894237,2097350038085158961
1048675019042579480,6292050114255476883
3146025057127738441,429406269056879033
9438075171383215324,1288218807170637099
9867481440440094357,3864656421511911297
11155700247610731456,11593969264535733891
15020356669122642753,16335163719897650057
8167581859948825028,12112003012273846939
6056001506136923469,17889264963111989201
18168004518410770408,16774306741916864371
17610525407813207993,13429432078331489881
15938088076020520748,3394808087575366411
10920776080642459013,10184424262726099233
14315584168217825424,12106528714468746083
6053264357234373041,17872842069696686633
18159793071703119124,16725038061670956667
17585891067690254141,13281626037593766769
15864185055651659192,2951389965362197075
10699067019535874345,8854169896086591225
13650456984898071420,8115765614550222059
4057882807275111029,5900552769941114561
12173648421825333088,17701658309823343683
18074201191766447649,16211486782050927817
17329115427880239716,11740972198733680219
15093858136221615917,16776172522491489041
8388086261245744520,13435029420055363891
6717514710027681945,3411600112746988441
1705800056373494220,10234800338240965323
5117400169120482661,12257656941013344353
15352200507361447984,18326226749330481443
9163113374665240721,18085192100572341097
9042596050286170548,17362088154297920059
8681044077148960029,15192776315474656945
